# Mhz, s21
44.50704225352112, 8.302387267904507
55.21126760563388, 28.88594164456233
67.60563380281698, 46.71087533156499
80.00000000000011, 58.38196286472149
86.76056338028178, 61.88328912466844
94.64788732394376, 62.838196286472154
113.80281690140859, 62.944297082228125
131.83098591549307, 63.368700265251995
147.60563380281704, 63.474801061007966
169.01408450704238, 63.262599469496024
184.7887323943663, 63.05039787798409
215.21126760563394, 62.73209549071619
267.0422535211269, 62.9973474801061
318.8732394366199, 63.368700265251995
338.0281690140846, 62.891246684350136
362.8169014084508, 63.05039787798409
405.6338028169016, 62.51989389920425
482.2535211267607, 61.0344827586207
609.5774647887325, 57.320954907161806
650.7042253521129, 55.9946949602122
677.1830985915494, 54.3501326259947
694.0845070422537, 51.69761273209549
716.056338028169, 46.49867374005306
743.661971830986, 36.41909814323608
758.3098591549294, 29.52254641909814
779.1549295774646, 17.851458885941646
787.6056338028168, 11.37931034482758
795.4929577464786, 5.331564986737391
240.00000000000009, 62.73209549071619
384.2253521126762, 62.9973474801061
506.4788732394368, 60.50397877984086
550.4225352112678, 59.49602122015915
627.0422535211269, 56.57824933687003
578.0281690140846, 58.54111405835545
570.1408450704226, 58.70026525198939
588.1690140845071, 58.16976127320956
598.3098591549298, 57.63925729442971
432.6760563380283, 61.88328912466844
452.3943661971832, 61.67108753315651
464.2253521126761, 61.3527851458886
349.29577464788747, 62.94429708222812
305.35211267605644, 63.15649867374006
288.4507042253522, 63.20954907161804
277.74647887323965, 62.997347480106114
254.64788732394382, 62.944297082228125
260.8450704225353, 62.997347480106114
198.87323943661985, 62.99734748010611
104.78873239436629, 62.944297082228125
83.38028169014095, 60.822281167108756
81.12676056338037, 59.65517241379311
139.71830985915508, 63.474801061007966
226.47887323943675, 62.838196286472154
419.15492957746494, 62.360742705570296
528.4507042253522, 59.97347480106101
538.0281690140847, 59.60212201591513
517.1830985915494, 60.29177718832892
494.6478873239438, 60.822281167108756
640.0000000000001, 56.04774535809019
659.1549295774649, 55.305039787798414
668.1690140845072, 54.66843501326261
686.1971830985916, 53.44827586206897
690.7042253521126, 52.59946949602122
700.8450704225353, 50.318302387267906
708.7323943661974, 48.62068965517242
