# freq Mhz, dbi
22.258862324814544, 4.93917274939173
34.1302555647156, 14.379562043795623
47.48557295960428, 31.02189781021898
56.38911788953011, 40.85158150851582
63.808738664468265, 46.39902676399028
74.69084913437759, 51.849148418491495
91.50865622423744, 55.6447688564477
104.36933223413028, 56.81265206812653
125.14427040395712, 57.493917274939186
152.8441879637263, 57.980535279805366
179.55482275350374, 58.418491484184926
215.16900247320694, 58.66180048661801
267.60098928277006, 58.807785888077866
366.52926628194564, 58.807785888077866
462.4896949711459, 58.27250608272507
566.3643858202804, 57.10462287104624
622.7535037098104, 56.034063260340645
671.2283594394064, 54.184914841849164
685.0783182192911, 53.211678832116796
704.8639736191261, 49.51338199513383
722.6710634789778, 44.744525547445264
737.5103050288542, 39.58637469586375
760.2638087386645, 30.583941605839435
784.9958779884583, 18.661800486618006
802.3083264633143, 6.788321167883211

